Date,State,District,Pincode,Bio_age_5_17,Bio_age_17+
01-03-2025,West Bengal,Howrah,711310,82,185
01-03-2025,Andhra Pradesh,Guntur,522529,334,116
01-03-2025,Gujarat,Patan,384290,55,134
01-03-2025,Tamil Nadu,Thanjavur,612301,140,179
01-03-2025,Punjab,Pathankot,143534,129,217
01-03-2025,Maharashtra,Nagpur,441110,245,742
01-03-2025,Telangana,Medak,502276,38,40
01-03-2025,Karnataka,Bangalore,562106,129,330
01-03-2025,Uttar Pradesh,Kanpur Nagar,208013,111,179
01-03-2025,Jharkhand,Ranchi,834009,303,450
01-03-2025,Rajasthan,Jodhpur,342003,105,274
01-03-2025,Gujarat,Patan,385360,250,377
01-03-2025,Uttar Pradesh,Varanasi,221206,312,127
01-03-2025,Gujarat,Surendra Nagar,363530,602,662
01-03-2025,Odisha,Koraput,764056,899,794
01-03-2025,Maharashtra,Gondiya,441701,203,477
01-03-2025,Bihar,Samastipur,848502,279,347
01-03-2025,Andhra Pradesh,Kurnool,518344,699,161
01-03-2025,Punjab,Tarn Taran,143022,20,75
01-03-2025,Maharashtra,Nashik,422013,90,313
01-03-2025,Rajasthan,Karauli,322215,79,108
01-03-2025,Uttar Pradesh,Mirzapur,231309,558,177
01-03-2025,Uttar Pradesh,Gonda,271602,514,169
01-03-2025,West Bengal,Barddhaman,713102,177,242
01-03-2025,Kerala,Thrissur,680301,57,123
01-03-2025,Uttar Pradesh,Bulandshahr,203132,369,91
01-03-2025,Delhi,South West Delhi,110075,232,328
01-03-2025,Gujarat,Banaskantha,385330,290,653
01-03-2025,Kerala,Ernakulam,682315,55,111
01-03-2025,Telangana,Jogulamba Gadwal,509153,41,63
01-03-2025,Gujarat,Ahmedabad,380024,419,730
01-03-2025,Bihar,East Champaran,845427,272,314
01-03-2025,Jharkhand,Simdega,835212,145,346
01-03-2025,Maharashtra,Jalgaon,425116,62,148
01-03-2025,Maharashtra,Mumbai,400028,31,293
01-03-2025,Delhi,South Delhi,110065,363,430
01-03-2025,Uttar Pradesh,Ghaziabad,201007,248,254
01-03-2025,Uttar Pradesh,Auraiya,206241,445,188
01-03-2025,Andhra Pradesh,Visakhapatnam,530047,138,158
01-03-2025,Telangana,Adilabad,504105,21,26
01-03-2025,Daman and Diu,Diu,362570,96,74
01-03-2025,Maharashtra,Osmanabad,413623,261,258
01-03-2025,Gujarat,Bharuch,392210,116,140
01-03-2025,West Bengal,Jalpaiguri,734007,43,115
01-03-2025,Gujarat,Botad,364750,157,90
01-03-2025,Tamil Nadu,Karur,639001,173,179
01-03-2025,Madhya Pradesh,Narsinghpur,487661,181,383
01-03-2025,Punjab,Jalandhar,144041,261,452
01-03-2025,West Bengal,Uttar Dinajpur,733207,271,571
01-03-2025,West Bengal,Kolkata,700040,28,121
01-03-2025,Andhra Pradesh,Nellore,524142,66,66
01-03-2025,Chhattisgarh,Balod,491771,117,858
01-03-2025,Andhra Pradesh,East Godavari,533342,309,214
01-03-2025,West Bengal,Jalpaiguri,735133,103,212
01-03-2025,Gujarat,Mahisagar,389235,60,50
01-03-2025,Telangana,K.v. Rangareddy,500048,261,341
01-03-2025,Karnataka,Shimoga,577214,25,129
01-03-2025,Jammu and Kashmir,Budgam,193411,305,145
01-03-2025,Uttar Pradesh,Mirzapur,231306,100,97
01-03-2025,Punjab,Rupnagar,140133,68,196
01-03-2025,Andhra Pradesh,Visakhapatnam,530002,169,245
01-03-2025,Uttar Pradesh,Varanasi,221405,159,112
01-03-2025,West Bengal,Barddhaman,713406,93,89
01-03-2025,Madhya Pradesh,Dindori,481885,57,97
01-03-2025,Chhattisgarh,Baloda Bazar,493332,134,450
01-03-2025,Tamil Nadu,Perambalur,621219,150,58
01-03-2025,Madhya Pradesh,Rewa,486003,76,70
01-03-2025,Uttar Pradesh,Agra,283126,416,154
01-03-2025,Odisha,Nabarangapur,764071,416,802
01-03-2025,Maharashtra,Ratnagiri,415611,97,219
01-03-2025,Odisha,Balangir,767022,69,137
01-03-2025,Andhra Pradesh,Nalgonda,508252,29,166
01-03-2025,Tamil Nadu,Kallakurichi,606213,38,16
01-03-2025,Karnataka,Bangalore,560099,48,152
01-03-2025,Telangana,Medchal-malkajgiri,500090,111,250
01-03-2025,Andhra Pradesh,Karim Nagar,505001,16,87
01-03-2025,Punjab,Amritsar,143201,66,183
01-03-2025,Rajasthan,Sikar,332411,57,90
01-03-2025,Gujarat,Anand,388306,76,119
01-03-2025,Sikkim,West Sikkim,737121,226,74
01-03-2025,Punjab,Kapurthala,144623,25,53
01-03-2025,Punjab,Firozpur,152123,30,333
01-03-2025,West Bengal,Hooghly,712146,74,89
01-03-2025,Uttar Pradesh,Shahjahanpur,242405,384,129
01-03-2025,Andhra Pradesh,Ananthapuramu,515501,309,7
01-03-2025,Maharashtra,Sangli,416307,24,42
01-03-2025,Kerala,Idukki,685607,49,53
01-03-2025,West Bengal,Murshidabad,742301,161,270
01-03-2025,West Bengal,Jalpaiguri,736204,75,121
01-03-2025,West Bengal,North Twenty Four Parganas,700135,11,162
01-03-2025,Tamil Nadu,Salem,636403,16,44
